Block,Match_ID,Site,Year,Month,Date,Obs1.Time,Obs2.Time,Group.size,Cluster_size,Obs1,Obs2,Choidogjamts,Lat.1,Long.1,Obs1.AnglePath,Obs1.AngleDetection,Obs1.Distance,Latnear,Lonnear,Neardistance,Obs1.Class1,Obs1.Class2,Obs1.Class3,Obs1.Class4,Obs1.AF,Obs1.Young,Obs1.Kid,Obs1.Unclassified,Obs2.Total,Obs2.Name,Lat.2,Long.2,Species,Sightings,Obs2.Class1,Obs2.Class2,Obs2.Class3,Obs2.Class4,Obs2.AF,Obs2.Young,Obs2.Kid,Obs2.Unclassified,total,Transect_Length
1,ZS01,ZS01,2022,10,27,,1319,6,,0,1,,,,,,,,,,,,,,,,,,0,Soronzonbold,43.40353,104.14619,,argali,,,,,5,1,,,6,7.736559851
1,ZS02,ZS02,2022,10,27,1226,,8,8,1,0,Choidogjamts,43.40973,104.06873,80,80,535,43.41124,104.07485,0,,3,,,3,1,1,,8,,,,ibex,ibex,,,,,,,,,0,9.924797426
1,ZS02,ZS02,2022,10,27,1453,1458,5,5,1,1,Choidogjamts,43.40825,104.09698,90,300,293,43.40825,104.09698,293,,,2,2,1,,,,5,Dorjsuren,43.40824,104.09697,ibex,ibex,,,2,2,1,,,,5,9.924797426
1,ZS02,ZS02,2022,10,27,1615,,2,2,1,0,Choidogjamts,43.41042,104.10732,70,140,203,43.41042,104.10732,203,,,,,1,,1,,2,,,,ibex,ibex,,,,,,,,,0,9.924797426
1,ZS02,ZS02,2022,10,27,1618,,9,9,1,0,Choidogjamts,43.40922,104.11008,65,160,380,43.40922,104.11008,380,1,2,3,,3,,,,9,,,,ibex,ibex,,,,,,,,,0,9.924797426
1,ZS02,ZS02,2022,10,27,1628,,1,1,1,0,Choidogjamts,43.40926,104.11062,65,20,266,43.40926,104.11062,266,,,1,,,,,,1,,,,ibex,ibex,,,,,,,,,0,9.924797426
1,ZS02,ZS02,2022,10,27,1700,,3,3,1,0,Choidogjamts,43.41122,104.11761,130,330,892,43.41122,104.11761,892,,,,1,2,,,,3,,,,argali,argali,,,,,,,,,0,9.924797426
1,ZS02,ZS02,2022,10,27,1717,,10,10,1,0,Choidogjamts,43.41125,104.11775,120,315,1130,43.41125,104.11775,1130,,,,2,,,,8,10,,,,argali,argali,,,,,,,,,0,9.924797426
1,ZS02,ZS02,2022,10,27,,1159,4,,0,1,,,,,,,,,,,,,,,,,,0,Dorjsuren,43.41008,104.04203,,ibex,1,,,,2,,1,,4,9.924797426
1,ZS02,ZS02,2022,10,27,,1240,4,,0,1,,,,,,,,,,,,,,,,,,0,Dorjsuren,43.40984,104.06427,,ibex,1,,,,1,,2,,4,9.924797426
1,ZS02,ZS02,2022,10,27,,1250,9,,0,1,,,,,,,,,,,,,,,,,,0,Dorjsuren,43.40984,104.06427,,ibex,2,,,,3,,4,,9,9.924797426
1,ZS02,ZS02,2022,10,27,,1632,8,,0,1,,,,,,,,,,,,,,,,,,0,Dorjsuren,43.40951,104.10522,,argali,2,,,,3,2,2,,9,9.924797426
1,ZS03,ZS03,2022,10,27,1009,1020,7,7,1,1,Enkhburen,43.42361,103.96085,90,20,50,43.42361,103.96085,50,2,1,,,3,,1,,7,Munkhtulga,43.42364,103.96084,ibex,ibex,2,1,,,3,,1,,7,9.46701533
1,ZS03,ZS03,2022,10,27,1050,1044,5,5,1,1,Enkhburen,43.42344,103.96313,90,0,400,43.42344,103.96313,400,,,1,,4,,,,5,Munkhtulga,43.42346,103.96313,ibex,ibex,,,1,,4,,,,5,9.46701533
1,ZS03,ZS03,2022,10,27,1051,1050,5,5,1,1,Enkhburen,43.42344,103.96313,90,40,500,43.42429,103.96646,200,,1,,,4,,,,5,Munkhtulga,43.42346,103.96313,ibex,ibex,,1,,,4,,,,5,9.46701533
1,ZS03,ZS03,2022,10,27,1051,1054,3,3,1,1,Enkhburen,43.42344,103.96313,90,90,700,43.42184,103.9726,20,,,,,,,,3,3,Munkhtulga,43.42346,103.96313,ibex,ibex,,,,,,,,3,3,9.46701533
1,ZS03,ZS03,2022,10,27,1301,1303,5,5,1,1,Enkhburen,43.41485,103.99341,90,20,600,43.41485,103.99341,600,,,1,,2,1,1,,5,Munkhtulga,43.4185,103.99339,argali,argali,,,,,,,,5,5,9.46701533
1,ZS03,ZS03,2022,10,27,1301,,4,4,1,0,Enkhburen,43.41485,103.99341,90,20,600,43.41485,103.99341,600,,,,,,,,4,4,,,,ibex,ibex,,,,,,,,,0,9.46701533
1,ZS03,ZS03,2022,10,27,1301,,10,10,1,0,Enkhburen,43.41485,103.99341,90,50,800,43.41462,104.00057,300,,3,1,,4,,2,,10,,,,ibex,ibex,,,,,,,,,0,9.46701533
1,ZS03,ZS03,2022,10,27,1302,,2,2,1,0,Enkhburen,43.41486,103.9934,90,100,1000,43.41402,104.00764,700,,,,,1,,1,,2,,,,ibex,ibex,,,,,,,,,0,9.46701533
1,ZS03,ZS03,2022,10,27,1302,,14,14,1,0,Enkhburen,43.41486,103.9934,90,150,1400,43.41402,104.00764,1000,,,1,,,,,13,14,,,,ibex,ibex,,,,,,,,,0,9.46701533
1,ZS03,ZS03,2022,10,27,1448,1449,20,20,1,1,Enkhburen,43.4113,104.01479,90,50,400,43.4116,104.01963,200,2,1,2,,7,3,5,,20,Munkhtulga,43.41129,104.01478,ibex,ibex,2,1,2,,7,3,5,,20,9.46701533
1,ZS03,ZS03,2022,10,27,1508,,7,7,1,0,Enkhburen,43.41158,104.01962,90,40,600,43.41104,104.02223,500,,,4,3,,,,,7,,,,ibex,ibex,,,,,,,,,0,9.46701533
1,ZS04,ZS04,2022,10,27,1119,,1,1,1,0,Tegshjargal,43.43207,104.09609,93,142,896,43.4314,104.10148,591,,,1,,,,,,1,,,,argali,argali,,,,,,,,,0,13.09787531
1,ZS04,ZS04,2022,10,27,1133,,2,2,1,0,Tegshjargal,43.43207,104.09609,95,180,1088,43.43207,104.09609,1088,,,,,2,,,,2,,,,argali,argali,,,,,,,,,0,13.09787531
1,ZS04,ZS04,2022,10,27,1301,,5,5,1,0,Tegshjargal,43.42009,104.12573,89,91,390,43.41919,104.12997,138,,,,,,,,5,5,,,,argali,argali,,,,,,,,,0,13.09787531
1,ZS04,ZS04,2022,10,27,1544,1545,5,5,1,1,Tegshjargal,43.41175,104.1707,271,300,121,43.41175,104.1707,121,,1,1,,2,1,,,5,Battumur,43.41174,104.1707,argali,argali,,1,1,,2,1,,,5,13.09787531
1,ZS04,ZS04,2022,10,27,1619,1615,24,24,1,1,Tegshjargal,43.40541,104.16322,138,120,642,43.40375,104.16461,468,,1,3,2,,,,18,24,Battumur,43.4054,104.1632,ibex,ibex,,1,3,2,,,,18,24,13.09787531
1,ZS05,ZS05,2022,10,27,1016,1233,4,4,1,1,Munkhchuluun,43.44083,104.0682,240,160,1572,43.44083,104.0682,1572,,,,,,,,4,4,Ankhbayar,43.43613,104.03014,ibex,ibex,,,2,1,1,,,,4,9.529345192
1,ZS05,ZS05,2022,10,27,1230,,10,10,1,0,Munkhchuluun,43.43739,104.03668,230,224,551,43.43739,104.03668,551,,2,1,,3,1,3,,10,,,,ibex,ibex,,,,,,,,,0,9.529345192
1,ZS05,ZS05,2022,10,27,1245,,3,3,1,0,Munkhchuluun,43.43614,104.03016,230,320,394,43.43614,104.03016,394,,,2,1,,,,,3,,,,ibex,ibex,,,,,,,,,0,9.529345192
1,ZS05,ZS05,2022,10,27,1256,,1,1,1,0,Munkhchuluun,43.43614,104.03016,260,250,1059,43.43614,104.03016,1059,,,1,,,,,,1,,,,ibex,ibex,,,,,,,,,0,9.529345192
1,ZS05,ZS05,2022,10,27,1440,,8,8,1,0,Munkhchuluun,43.43882,104.00312,300,164,1840,43.43882,104.00312,1840,,3,4,1,,,,,8,,,,ibex,ibex,,,,,,,,,0,9.529345192
1,ZS05,ZS05,2022,10,27,1443,,4,4,1,0,Munkhchuluun,43.43882,104.00312,300,315,1832,43.43882,104.00312,1832,,,,1,1,1,1,,4,,,,ibex,ibex,,,,,,,,,0,9.529345192
1,ZS05,ZS05,2022,10,27,1446,1500,3,3,1,1,Munkhchuluun,43.43882,104.00312,300,300,230,43.43882,104.00312,230,,,,,,,,3,3,Ankhbayar,43.43824,104.00315,ibex,ibex,,,,1,1,,1,,3,9.529345192
1,ZS05,ZS05,2022,10,27,1458,,1,1,1,0,Munkhchuluun,43.43882,104.00312,300,164,1829,43.43882,104.00312,1829,,,,1,,,,,1,,,,argali,argali,,,,,,,,,0,9.529345192
1,ZS05,ZS05,2022,10,27,1529,,14,14,1,0,Munkhchuluun,43.4385,103.99675,300,294,600,43.4385,103.99675,600,1,2,3,,3,2,3,,14,,,,ibex,ibex,,,,,,,,,0,9.529345192
